Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24
2025/1/17,8:54:22,-2743930.321,4701335.084,3312911.516,5,12,7.1974,19.5568,8.5007,-7.1804,12.347,-5.9194,0,0,-0.00545,-0.04282,-0.0531,0.22113,0.69668,0.30803,-0.12808,0.43493,-0.14859
2025/1/17,8:54:23,-2743923.438,4701329.758,3312901.72,5,13,7.0697,14.6095,6.927,-5.8299,9.4018,-5.3272,0,0,0.07951,0.29088,0.04166,0.21545,0.63447,0.2948,-0.17549,0.40432,-0.16291
2025/1/17,8:54:24,-2743929.533,4701337.27,3312912.73,5,12,7.1995,19.5699,8.5034,-7.1891,12.3538,-5.9228,0,0,0.05365,-0.06498,-0.02886,0.22117,0.69696,0.30801,-0.12828,0.435,-0.14865
2025/1/17,8:54:26,-2743925.977,4701336.173,3312911.161,5,12,7.2015,19.583,8.5061,-7.1978,12.3606,-5.9263,0,0,-0.06279,0.16096,0.03117,0.22121,0.69723,0.30799,-0.12847,0.43508,-0.14871
2025/1/17,8:54:27,-2743924.175,4701336.886,3312910.313,5,12,7.2025,19.5896,8.5074,-7.2022,12.3639,-5.928,0,0,-0.04058,0.20175,0.11145,0.22123,0.69737,0.30798,-0.12857,0.43512,-0.14873
2025/1/17,8:54:28,-2743924.646,4701335.979,3312910.27,5,12,7.2035,19.5962,8.5088,-7.2065,12.3673,-5.9297,0,0,-0.25014,0.15214,0.14278,0.22125,0.69751,0.30797,-0.12866,0.43516,-0.14876
2025/1/17,8:54:29,-2743926.36,4701334.179,3312910.086,5,12,7.2045,19.6027,8.5101,-7.2109,12.3707,-5.9314,0,0,-0.04595,-0.1363,-0.01929,0.22127,0.69765,0.30796,-0.12876,0.4352,-0.14879
2025/1/17,8:54:30,-2743926.66,4701333.186,3312909.87,5,12,7.2055,19.6093,8.5115,-7.2152,12.3741,-5.9331,0,0,0.08234,-0.21931,-0.05555,0.22129,0.69779,0.30795,-0.12886,0.43523,-0.14882
2025/1/17,8:54:31,-2743926.645,4701332.391,3312909.567,5,12,7.2066,19.6159,8.5128,-7.2196,12.3775,-5.9348,0,0,-0.06876,0.00975,-0.02154,0.22131,0.69792,0.30794,-0.12895,0.43527,-0.14885
2025/1/17,8:54:32,-2743927.164,4701332.312,3312909.597,5,12,7.2076,19.6225,8.5142,-7.2239,12.3809,-5.9365,0,0,0.22131,-0.03135,-0.04197,0.22133,0.69806,0.30792,-0.12905,0.43531,-0.14888
2025/1/17,8:54:33,-2743927.911,4701332.463,3312909.678,5,12,7.2086,19.6291,8.5155,-7.2283,12.3843,-5.9383,0,0,0.11005,-0.40573,-0.17434,0.22135,0.6982,0.30791,-0.12915,0.43535,-0.14891
2025/1/17,8:54:34,-2743927.232,4701332.317,3312909.452,5,12,7.2096,19.6357,8.5169,-7.2326,12.3877,-5.94,0,0,0.12914,-0.03787,-0.01823,0.22137,0.69834,0.3079,-0.12924,0.43539,-0.14894
2025/1/17,8:54:35,-2743926.798,4701331.324,3312909.056,5,12,7.2106,19.6423,8.5182,-7.237,12.3911,-5.9417,0,0,0.00854,-0.02667,-0.05001,0.22139,0.69848,0.30789,-0.12934,0.43543,-0.14896
2025/1/17,8:54:36,-2743927.239,4701331.163,3312909.045,5,12,7.2116,19.6489,8.5196,-7.2413,12.3945,-5.9434,0,0,-0.07551,0.16305,0.14744,0.22141,0.69862,0.30788,-0.12944,0.43547,-0.14899
2025/1/17,8:54:37,-2743926.529,4701331.474,3312908.935,5,12,7.2127,19.6555,8.5209,-7.2457,12.3979,-5.9451,0,0,-0.05087,0.05308,0.03044,0.22143,0.69876,0.30787,-0.12953,0.43551,-0.14902
2025/1/17,8:54:38,-2743926.854,4701329.851,3312908.665,5,12,7.2137,19.6621,8.5223,-7.2501,12.4013,-5.9468,0,0,0.00434,-0.12007,-0.04614,0.22146,0.69889,0.30786,-0.12963,0.43555,-0.14905
2025/1/17,8:54:39,-2743926.261,4701329.854,3312908.374,5,12,7.2147,19.6688,8.5236,-7.2544,12.4047,-5.9485,0,0,-0.19068,0.27204,0.1504,0.22148,0.69903,0.30785,-0.12973,0.43558,-0.14908
2025/1/17,8:54:40,-2743926.463,4701329.465,3312908.168,5,12,7.2157,19.6754,8.525,-7.2588,12.4081,-5.9503,0,0,0.14657,0.10624,0.0462,0.2215,0.69917,0.30784,-0.12982,0.43562,-0.14911
2025/1/17,8:54:41,-2743926.748,4701329.814,3312907.988,5,12,7.2167,19.682,8.5263,-7.2631,12.4115,-5.952,0,0,-0.04594,0.01482,0.02789,0.22152,0.69931,0.30783,-0.12992,0.43566,-0.14914
2025/1/17,8:54:42,-2743926.18,4701331.47,3312908.407,5,12,7.2178,19.6886,8.5277,-7.2675,12.4149,-5.9537,0,0,0.10913,-0.09372,-0.06023,0.22154,0.69945,0.30782,-0.13001,0.4357,-0.14916
2025/1/17,8:54:43,-2743927.101,4701330.69,3312908.551,5,12,7.2188,19.6953,8.529,-7.2718,12.4183,-5.9554,0,0,0.15026,-0.30319,-0.1219,0.22156,0.69959,0.30781,-0.13011,0.43574,-0.14919
2025/1/17,8:54:44,-2743927.062,4701330.771,3312908.399,5,12,7.2198,19.7019,8.5304,-7.2762,12.4217,-5.9571,0,0,-0.00233,-0.05892,-0.00903,0.22158,0.69973,0.3078,-0.13021,0.43578,-0.14922
2025/1/17,8:54:53,-2743930.246,4701336.593,3312911.093,5,12,7.229,19.7618,8.5426,-7.3154,12.4525,-5.9725,0,0,-0.1226,0.17129,0.05337,0.22176,0.70099,0.30771,-0.13107,0.43613,-0.14948
2025/1/17,8:54:54,-2743929.352,4701336.917,3312910.959,5,12,7.23,19.7685,8.5439,-7.3197,12.4559,-5.9743,0,0,0.15085,-0.05547,-0.04724,0.22178,0.70113,0.3077,-0.13116,0.43617,-0.14951
2025/1/17,8:54:55,-2743929.102,4701336.543,3312910.527,5,12,7.231,19.7752,8.5453,-7.3241,12.4593,-5.976,0,0,0.09437,-0.11469,-0.02028,0.2218,0.70127,0.30769,-0.13126,0.43621,-0.14953
2025/1/17,8:54:56,-2743928.878,4701336.047,3312909.985,5,12,7.2321,19.7818,8.5467,-7.3284,12.4627,-5.9777,0,0,0.09941,-0.18343,-0.08803,0.22182,0.70141,0.30768,-0.13135,0.43625,-0.14956
2025/1/17,8:54:57,-2743927.823,4701336.181,3312909.752,5,12,7.2331,19.7885,8.548,-7.3328,12.4662,-5.9794,0,0,-0.16149,-0.27193,-0.04876,0.22184,0.70155,0.30767,-0.13145,0.43629,-0.14959
2025/1/17,8:54:58,-2743927.088,4701335.14,3312908.986,5,12,7.2341,19.7952,8.5494,-7.3371,12.4696,-5.9811,0,0,-0.12268,0.02499,0.04997,0.22187,0.70169,0.30766,-0.13155,0.43633,-0.14962
2025/1/17,8:54:59,-2743924.383,4701338.979,3312909.625,5,12,7.2351,19.8019,8.5507,-7.3415,12.473,-5.9828,0,0,-0.00146,0.13221,0.05073,0.22189,0.70183,0.30764,-0.13164,0.43637,-0.14965
2025/1/17,8:55:00,-2743922.899,4701341.274,3312910.044,5,12,7.2362,19.8086,8.5521,-7.3459,12.4765,-5.9845,0,0,-0.11157,0.04369,0.00703,0.22191,0.70197,0.30763,-0.13174,0.43641,-0.14968
2025/1/17,8:55:01,-2743918.796,4701309.693,3312898.113,5,13,7.0982,14.7196,6.9429,-5.9415,9.4591,-5.3651,0,0,-0.29079,0.15963,0.14933,0.21625,0.63883,0.2944,-0.17861,0.40558,-0.16389
2025/1/17,8:55:02,-2743919.859,4701311.556,3312899.026,5,13,7.099,14.7225,6.9433,-5.9444,9.4606,-5.3661,0,0,-0.00034,0.02319,-0.00048,0.21628,0.63894,0.29439,-0.1787,0.40561,-0.16392
2025/1/17,8:55:03,-2743920.351,4701313.896,3312899.923,5,13,7.0997,14.7254,6.9437,-5.9473,9.4621,-5.367,0,0,0.0031,-0.09601,-0.03743,0.2163,0.63906,0.29438,-0.17878,0.40564,-0.16394
2025/1/17,8:55:04,-2743921.579,4701317.687,3312901.606,5,13,7.1005,14.7284,6.9441,-5.9503,9.4636,-5.368,0,0,-0.17099,0.11648,0.10621,0.21632,0.63917,0.29437,-0.17886,0.40568,-0.16397
2025/1/17,8:55:05,-2743923.444,4701321.953,3312903.781,5,13,7.1012,14.7313,6.9445,-5.9532,9.4651,-5.369,0,0,-0.00546,-0.10467,-0.08086,0.21634,0.63929,0.29436,-0.17894,0.40571,-0.16399
2025/1/17,8:55:06,-2743922.04,4701322.299,3312903.005,5,13,7.102,14.7342,6.9449,-5.9561,9.4666,-5.37,0,0,0.02966,-0.07781,-0.00891,0.21636,0.63941,0.29435,-0.17902,0.40574,-0.16402
