Epoch,X,Y,Z,Score,NumBestPoints
2025/01/17 08:52:03.000,-2743945.5827420964,4701325.758799245,3312906.8664458757,0,0
2025/01/17 08:52:04.000,-2743947.6409016117,4701327.716818532,3312907.432524501,0,0
2025/01/17 08:52:05.000,-2743949.0809499742,4701331.1033209255,3312909.209098018,0,0
2025/01/17 08:52:06.000,-2743948.323692873,4701335.475465876,3312910.433424848,0,0
2025/01/17 08:52:07.000,-2743950.1832656753,4701329.214696168,3312908.894099665,0,0
2025/01/17 08:52:08.000,-2743951.6958018616,4701333.179623862,3312910.9144887356,0,0
2025/01/17 08:52:09.000,-2743955.312321033,4701341.616586951,3312914.991329766,0,0
2025/01/17 08:52:10.000,-2743957.99953207,4701345.5435052235,3312917.1120117344,0,0
2025/01/17 08:52:11.000,-2743956.05042064,4701346.542576273,3312916.453021805,0,0
2025/01/17 08:52:12.000,-2743953.2235744037,4701339.844589751,3312913.5094566816,0,0
2025/01/17 08:52:13.000,-2743953.2465585344,4701340.112027451,3312913.982383131,0,0
2025/01/17 08:52:14.000,-2743946.7152023423,4701338.099467641,3312911.919306152,0,0
2025/01/17 08:52:15.000,-2743942.351207172,4701334.720865962,3312909.456598213,0,0
2025/01/17 08:52:16.000,-2743940.0465374333,4701330.836995415,3312907.6189671024,0,0
2025/01/17 08:52:17.000,-2743912.427115201,4701352.409084605,3312909.7071092916,10,1
2025/01/17 08:52:18.000,-2743911.1883504647,4701349.172962239,3312908.771092271,11,12
2025/01/17 08:52:19.000,-2743914.2213583165,4701360.274735558,3312913.705709286,11,78
2025/01/17 08:52:20.000,-2743914.454009577,4701358.650457648,3312914.1120308656,12,46
2025/01/17 08:52:21.000,-2743913.4565390884,4701354.124337238,3312910.1890292014,12,27
2025/01/17 08:52:22.000,-2743916.2926478954,4701366.336253943,3312919.5521152616,11,90
2025/01/17 08:52:23.000,-2743918.0176229076,4701369.74407428,3312926.7071959353,12,94
2025/01/17 08:52:24.000,-2743919.2576137413,4701373.586838581,3312932.7845440633,10,84
2025/01/17 08:52:25.000,-2743920.40804641,4701376.85013178,3312938.2000496807,11,67
2025/01/17 08:52:26.000,-2743920.781598155,4701377.02948952,3312939.232827361,11,63
2025/01/17 08:52:27.000,-2743920.785747048,4701377.371146417,3312937.9193981895,11,65
2025/01/17 08:52:28.000,-2743920.8103879895,4701378.399373211,3312940.6376089067,12,55
